moody_lighting,"氛围光照"
style_of_castlevania,"恶魔城"
style_of_cyberpunk,"赛博朋克"
style_of_david_lynch,"大卫·林奇导演电影"
style_of_decus_ex,"杀出重围"
style_of_disney,"迪斯尼"
style_of_doki_doki_panic,"心跳冒险"
style_of_dragon_age,"龙腾世纪"
style_of_dragonball,"龙珠"
style_of_el_cazador_de_la_bruja,"魔女猎人"
style_of_elderscrolls,"上古卷轴"
style_of_event_horizon,"事件视界"
style_of_fallout,"辐射"
style_of_fantasy,"幻想风"
style_of_final_fantasy,"最终幻想"
style_of_fist_of_the_north_star,"北斗神拳"
style_of_garbage_pail_kids,"垃圾桶小子"
style_of_ghost_in_the_shell,"攻壳机动队"
style_of_ghostbusters,"捉鬼敢死队"
style_of_harry_potter,"哈利波特"
style_of_hellraiser,"猛鬼追魂"
style_of_junji_ito,"伊藤润二"
style_of_kermit,"青蛙科米"
style_of_lego,"乐高"
style_of_lgbtq,"LGBTQ"
style_of_lord_of_the_rings,"指环王"
style_of_lowpoly,"低多边形"
style_of_lupin,"鲁邦三世"
style_of_marceline_from_adventure_time,"探险活宝马瑟琳"
style_of_marvel,"漫威"
style_of_masamune_shirow,"士郎正宗作品"
style_of_minecraft,"我的世界"
style_of_neon_genesis_evangrlion,"新世纪福音战士"
style_of_one_punch_man,"一拳超人"
style_of_pixar,"皮克斯动画"
painted_in_the_style_of_pixel_art,"像素艺术"
style_of_poison_ivy,"毒药艾薇DC"
style_of_princess_bubblegum_from_adventure_time,"探险时光泡泡堂公主"
style_of_resident_evil,"生化危机"
style_of_robocop,"机械战警"
style_of_satoshi_kon,"今敏作品"
style_of_satoshi_urushihara,"漆原智志作品"
style_of_scifi,"科幻作品"
style_of_silent_hill,"寂静岭"
style_of_skyrim,"上古卷轴5"
style_of_spiderman,"蜘蛛侠"
style_of_star_trek,"星际迷航"
style_of_star_wars,"星球大战"
style_of_stardew_valley,"星露谷物语"
style_of_super_mario,"超级马里奥"
style_of_the_legend_of_zelda,"塞尔达传说"
style_of_the_matrix,"黑客帝国"
style_of_the_simpsons,"辛普森一家"
style_of_tomb_raider,"古墓丽影"
style_of_undertale,"undertale传说之下"
style_of_unreal_torunament,"虚幻竞技场"
style_of_vaporwave,"蒸汽波音乐"
style_of_visual_novel,"视觉小说"
kyoto_animation,"京都动画"
studio_ghibli,"吉普力工作室,吉卜力工作室"
idolmaster,"偶像大师"
fate_grand_order,"FGO"
mahou_shoujo_madoka_magica,"魔法少女小圆,mahou_shoujo_madoka_magica"
girls'_frontline,"少女前线"
umamusume,"赛马娘,umamusume"
kemono_friends,"兽娘动物园,kemono_朋友"
k-on!,"轻音少女,k-on!"
danganronpa,"弹丸论破"
princess_connect!,"公主链接,公主连接！"
dutch_angle,"倾斜镜头,倾斜,德式倾斜镜头,荷兰角"
fisheye,"鱼眼镜头,鱼眼"
from_above,"俯视视角,俯视镜头,从上面"
from_behind,"侧视视角,背影,从后面"
from_below,"仰视视角,仰视镜头,从下面"
perspective,"透视强调镜头,用了透视画法,透视"
pov,"第一人称视角,主观视角,pov"
vanishing_point,"中心消失点(需与场景描述配合),远景透视画法,消失点"
border,"假边框,边框"
out-of-frame_censoring,"“摄像师可以滚蛋了”,帧外审查"
lineup,"人物排成一排,一排人,阵容"
negative_space,"负空间"
partially_underwater_shot,"部分画面在水下,部分水下拍摄"
zoom_layer,"放大图层(低概率刷),缩放图层"
artbook,"原画,画册"
game_cg,"游戏CG,游戏_CG,游戏cg"
comic,"漫画"
4koma,"四格"
lowres,"低分辨率"
highres,"高分辨率"
absurdres,"超高分辨率,荒谬"
incredibly_absurdres,"极高分辨率,难以置信的荒谬"
huge_filesize,"超级高分辨率/大文件,大文件体积"
album_cover,"专辑封面"
doujin_cover,"同人志封面,同人封面"
dvd_cover,"dvd封面,DVD_封面"
magazine_cover,"杂志封面"
manga_cover,"漫画封面"
cityscape,"城市景观,城市风景"
landscape,"景观,风景"
nature,"自然,自然环境"
no_humans,"没有人类,非人,无人"
scenery,"风景"
still_life,"静物"
science_fiction,"科幻,科幻小说"
portrait,"人像,半身像,肖像"
upper_body,"上半身"
lower_body,"下半身"
cowboy_shot,"腿部以上,七分身镜头,牛仔射击"
very_wide_shot,"超广角,非常宽的镜头"
close-up,"特写,特写镜头"
profile,"侧脸,个人资料"
depth_of_field,"景深,背景虚化"
face,"仅脸部,脸"
aqua_theme,"青色主题,水色主题"
blue_theme,"蓝色主题"
brown_theme,"棕色主题"
green_theme,"绿色主题"
purple_theme,"紫色主题"
red_theme,"红色主题"
yellow_theme,"黄色主题"
flat_color,"扁平画风,平涂风格,纯色"
greyscale,"灰白图,纯黑白色/黑白照片化/灰度,灰度"
colorful,"色彩丰富的,多彩"
anime_coloring,"动漫着色"
high_contrast,"黑白图,高对比度"
monochrome,"单色"
muted_color,"褪色的,柔和的颜色"
partially_colored,"部分着色,部分上色,部分彩色"
pastel_colors,"柔和的颜色"
gradient,"渐变色,(身体或肢体)倾斜,渐变"
angry,"生气的,生气"
anger_vein,"青筋凸起,怒脉"
annoyed,"恼火,苦恼的,生气"
clenched_teeth,"咬牙,咬紧牙关"
blush,"脸红,脸红的"
blush_stickers,"2D脸红,腮红贴"
embarrassed,"尴尬的,尴尬"
bored,"无聊的,无聊"
closed_eyes,"闭上眼睛"
confused,"困惑的,困惑"
disgust,"厌恶"
drunk,"醉,喝醉的,喝醉了"
flustered,"慌张,慌乱的,心慌"
grimace,"扭曲的脸,(因痛苦、厌恶等)做怪相,鬼脸"
happy,"快乐的,快乐/幸福,快乐"
nervous,"紧张的,不安的,紧张"
nosebleed,"鼻血,流鼻血"
one_eye_closed,"一只眼睛闭上,一只眼睛闭着"
open_mouth,"张开嘴,张口"
parted_lips,"分开的嘴唇,嘴唇微张"
pain,"疼痛,痛苦"
pout,"撅嘴,努嘴,噘嘴"
raised_eyebrow,"扬眉,挑眉"
rolling_eyes,"翻白眼,眼睛抬头"
sad,"伤心,悲伤的"
frown,"皱眉,皱眉/蹙额"
gloom_(expression),"脸上有黑线或阴影,消沉(表情),忧郁(表情)"
tears,"眼泪"
scared,"惊恐的,害怕的,害怕"
worried,"担心"
serious,"严肃的,严重的"
sleepy,"困,困乏的,困了"
thinking,"思考中,思考"
fucked_silly,"程度较啊嘿颜更轻"
naughty_face,"调皮的脸,下流的表情,调皮脸,顽皮的脸"
crazy_smile,"疯狂的笑容,疯狂的微笑"
evil_smile,"邪恶的笑容,坏笑,邪恶的微笑"
evil_grin,"邪恶的露齿笑,坏笑,邪恶的笑容"
light_smile,"微笑,浅笑"
smug,"得意脸,自鸣得意"
doyagao,"得意脸日语,得意脸,多亚高"
smirk,"单侧嘴角上扬,傻笑/得意的笑,傻笑"
surprised,"惊讶"
wavy_mouth,"抿嘴_波浪形嘴,波浪嘴"
wince,"畏惧的,闭一只眼,畏缩"
broad_shoulders,"宽阔的肩膀"
shoulder_blades,"肩胛骨"
epaulettes,"肩章"
pauldrons,"肩铠,肩章"
puffy_sleeves,"蓬松的袖子"
shoulder_pads,"肩垫"
jacket_on_shoulders,"披在肩上的夹克,肩部夹克"
bare_shoulders,"裸露的肩膀,露双肩"
off_shoulder,"衣服从肩膀滑下,露单肩,露肩"
strap_slip,"肩带滑下,背带滑"
towel_around_neck,"毛巾围在脖子上,脖子上的毛巾"
sword_over_shoulder,"肩扛剑,剑在肩上"
hand_on_shoulder,"手搭在肩上,手放在肩膀上,手放在肩上"
hands_on_shoulders,"双手放在肩膀上"
carrying_over_shoulder,"肩扛,用肩扛"
piggyback,"手托式背人,搭载"
shoulder_carry,"肩扛式背人,肩扛"
bird_on_shoulder,"肩上有鸟,肩上的鸟"
hair_over_shoulder,"头发披在肩上,头发过肩,披肩发"
over_shoulder,"将物品扛在肩上,过肩"
shoulder_bag,"单肩包,肩包"
dark_skin,"肤色较深,深色皮肤"
pale_skin,"肤色偏白,苍白的皮肤"
tanlines,"晒痕,tanlines"
tan,"晒黑的肤色,棕褐色"
tail,"尾巴"
multiple_tails,"多尾"
demon_tail,"恶魔尾巴"
dragon_tail,"龙尾"
ghost_tail,"鬼尾,幽灵尾巴"
bunny_tail,"兔子尾巴"
cat_tail,"猫尾巴"
cow_tail,"牛尾,牛尾巴"
dog_tail,"狗尾巴"
fox_tail,"狐尾,狐狸尾巴"
horse_tail,"马尾"
leopard_tail,"豹尾"
mouse_tail,"老鼠尾巴,鼠尾"
tiger_tail,"虎尾"
wolf_tail,"狼尾"
fish_tail,"鱼尾"
snake_tail,"蛇尾"
tail_bell,"尾上系着铃铛,尾铃"
tail_bow,"尾巴上系着蝴蝶结,尾弓"
tail_ornament,"尾饰"
tail_ribbon,"尾巴上系着丝带,尾丝带"
anal_tail,"尾巴玩具,肛尾,肛门尾巴"
fake_tail,"假尾巴"
heart_tail,"心形的尾巴,心尾"
prehensile_tail,"抓着东西的尾巴,可抓握的尾巴"
tail_between_legs,"两腿间的尾巴,双腿之间的尾巴"
tail_grab,"抓着尾巴,抓尾"
tail_raised,"尾巴抬起"
tail_wrap,"尾巴缠绕,尾套"
wings,"翅膀,翅膀/翼"
multiple_wings,"多翼"
single_wing,"单翼"
large_wings,"大翅膀"
mini_wings,"迷你翅膀"
angel_wings,"天使的翅膀,天使之翼"
demon_wings,"恶魔之翼"
dragon_wings,"龙翼"
fairy_wings,"妖精的翅膀,仙女翅膀"
insect_wings,"昆虫翅膀"
butterfly_wings,"蝴蝶翅膀"
bat_wings,"蝙蝠翅膀"
fiery_wings,"火焰翅膀,火热的翅膀"
hair_wings,"头发做的翅膀,毛翼"
mechanical_wings,"机械翼"
feathered_wings,"羽翼"
black_wings,"黑色的翅膀,黑色之翼"
gradient_wings,"渐变翅膀"
red_wings,"红色的翅膀,红翼"
white_wings,"白色的翅膀"
detached_wings,"悬在空中的翅膀,脱离本体的翅膀,分离的翅膀"
head_wings,"头上长成翼,头翼"
low_wings,"腰部附近的翅膀,低翼"
winged_backpack,"带翅膀的背包"
winged_hat,"带翅膀的帽子"
winged_helmet,"带翼头盔,带翅膀的头盔"
bloody_wings,"血腥的翅膀"
glowing_wings,"发光的翅膀"
animal_ears,"动物耳朵"
bat_ears,"蝙蝠耳朵"
bear_ears,"熊耳朵"
bunny_ears,"兔子耳朵,兔耳"
cat_ears,"猫耳朵,猫耳"
cow_ears,"牛耳朵"
deer_ears,"鹿角,鹿耳"
dog_ears,"狗耳朵,狗耳"
fake_animal_ears,"假动物耳朵"
fox_ears,"狐狸耳朵"
goat_ears,"山羊角,山羊耳朵"
horse_ears,"马耳朵,马耳"
monkey_ears,"猴耳"
panda_ears,"熊猫耳朵"
raccoon_ears,"浣熊耳朵"
sheep_ears,"羊角,羊耳朵"
squirrel_ears,"松鼠耳朵"
tiger_ears,"虎耳"
wolf_ears,"狼耳朵"
pointy_ears,"尖耳朵,尖耳"
robot_ears,"机器人耳朵"
extra_ears,"额外的耳朵"
ear_piercing,"穿耳洞,耳洞"
earrings,"耳环"
single_earring,"单耳环"
headphones,"耳机"
covering_ears,"捂耳朵,遮住耳朵"
blonde_hair,"金发"
silver_hair,"银发"
grey_hair,"灰发,白发"
white_hair,"白发"
brown_hair,"棕发,茶发,棕色头发"
black_hair,"黑发"
purple_hair,"紫发,紫色头发"
red_hair,"红发,红头发"
blue_hair,"蓝发,蓝发/水色发,蓝色的头发"
green_hair,"绿发,绿色的头发"
pink_hair,"粉发,粉红色的头发"
orange_hair,"橘发,橙色头发"
light_blue_hair,"浅蓝色发,浅蓝发,浅蓝色头发"
multicolored_hair,"多种发色,多彩头发,五彩的头发"
colored_inner_hair,"内外侧不同发色,内侧染色,彩色内毛"
gradient_hair,"纵向渐变发色,渐变发色,渐变头发"
streaked_hair,"挑染,条染,条纹头发"
two-tone_hair,"两种发色,两色头发"
colored_tips,"发尖不同色,彩色提示"
very_short_hair,"很短的头发"
short_hair,"短发"
medium_hair,"中等长度头发,中等长发,中等头发"
long_hair,"长发"
very_long_hair,"很长的头发"
absurdly_long_hair,"极长的头发,超长的头发,荒谬的长发"
big_hair,"体积很大的蓬松头发,头发很多的,大头发"
bald,"秃,秃头"
curly_hair,"卷发"
drill_hair,"钻头卷,钻头卷/公主卷,钻头"
twin_drills,"特指两个钻头卷,双钻头卷,双钻"
flipped_hair,"向外翻的头发,外卷发型,翻转的头发"
messy_hair,"凌乱的头发,凌乱发型"
pointy_hair,"较尖的簇状头发(多男性),尖头头发"
bangs,"刘海"
asymmetrical_bangs,"单侧有刘海,不对称刘海"
parted_bangs,"中分,分开的刘海,分刘海"
swept_bangs,"斜刘海,扫浏海,扫刘海"
hair_intakes,"两边侧发向内弯(尼禄),进气口发型,头发摄入量"
sidelocks,"有明显侧发,耳前发,侧锁"
ahoge,"呆毛,ahoge"
heart_ahoge,"心形呆毛,心啊"
huge_ahoge,"较大的呆毛,巨大的_ahoge"
antenna_hair,"天线毛(两根呆毛),天线毛"
braid,"有辫子的,辫子,编织"
braided_bangs,"把前额的头发绑成辫子,辫子刘海,编织刘海"
side_braid,"垂在侧边的辫子,侧辫,侧编织"
double_bun,"双团子头,双包子"
hair_rings,"各类环形发型,发圈"
half_updo,"将两侧头发后梳并在后方打结,侧发后梳,半髻"
one_side_up,"披肩单马尾,一面朝上"
two_side_up,"披肩双马尾,小型双股辫,两侧向上"
hime_cut,"姬发式,姬切"
low-tied_long_hair,"长发低马尾,直发,低扎长发"
ponytail,"马尾辫,马尾"
folded_ponytail,"马尾在后方竖着折起(辉夜),折叠马尾,折叠马尾辫"
front_ponytail,"绑在胸前的马尾辫,前马尾,前马尾辫"
high_ponytail,"高马尾辫,披在两侧的两条辫子"
side_ponytail,"侧马尾辫,侧马尾"
twintails,"双马尾"
low_twintails,"低双马尾,低扎双尾"
bowl_cut,"蘑菇头,碗切"
buzz_cut,"美式寸头,嗡嗡声"
afro,"爆炸头,非洲人"
hairdressing,"理发,美发"
cutting_hair,"剪头发"
hand_in_own_hair,"手握着头发,手牵自己的头发"
adjusting_hair,"调整头发,理头发"
grabbing_another's_hair,"抓其他人的头发,抓着对方的头发,抓别人的头发"
hair_tucking,"撩头发,头发掖"
ruffling_hair,"摸头,蓬松的头发"
hair_twirling,"转头发玩,手指卷着头发,卷发"
hair_brush,"发刷,毛刷"
hair_dryer,"电吹风,吹风机"
shampoo,"洗发水"
bun_cover,"套在团子头上的织物,包子盖"
comb,"梳子"
hair_bell,"发铃,头发上系着铃铛"
hair_bobbles,"两端有小球的发圈,头绳,毛球"
hair_bow,"蝴蝶结发饰,发弓"
hair_ribbon,"发带"
hairclip,"发夹"
hairpin,"发卡,发夹"
hair_flower,"花发饰,发花"
hair_tubes,"圆柱形发饰(灵梦),发管"
kanzashi,"簪,簪子,kanzashi"
hair_tie,"发圈,发带"
hairband,"发箍,头箍,发带"
headband,"穿过额头的带子,头带"
scrunchie,"布面弹性发圈,发圈"
facial_hair,"胡子,面部毛发"
beard,"胡须"
goatee,"山羊胡"
mustache,"鼻子下的胡须,小胡子"
stubble,"胡茬,茬"
tentacle_hair,"触手头发,触手毛"
floating_hair,"漂浮的头发"
blood,"血液,血"
bleeding,"流血的,流血"
blood_on_bandages,"带血的绷带,绷带上有血"
bruise,"挫伤,瘀伤"
cuts,"割伤,削减"
scar,"疤痕"
scratches,"划痕"
stitches,"缝合痕迹,缝针"
impaled,"刺穿"
bandaid,"创可贴"
bandaid_on_arm,"手臂上的绷带"
bandaid_on_finger,"手指上的绷带"
bandaid_on_face,"创口贴在脸上,脸上的绷带"
bandaid_on_cheek,"脸颊上的绷带"
bandaid_on_ear,"耳朵上的绷带"
bandaid_on_forehead,"额头上的绷带"
bandaid_on_nose,"绷带贴在鼻子上,鼻子上的绷带"
bandages,"绷带"
bandage_on_face,"绷带在脸上"
bandage_over_one_eye,"用绷带包扎一只眼睛,缠着绷带的单眼"
eyepatch,"眼罩,单眼罩"
sarashi,"缠绕的长布条,缠胸布,萨拉希"
doctor,"医生"
nurse,"护士"
hospital,"医院"
intravenous_drip,"静脉滴注"
surgery,"手术"
syringe,"注射器"
amputee,"截肢者"
drugs,"药物,药品"
guro,"内脏,九老"
adjusting_eyewear,"调整眼镜"
hand_on_another's_face,"手放在别人脸上,手放在别人的脸上"
hand_on_own_face,"手放在自己脸上,手在自己的脸上"
hands_on_another's_face,"双手放在别人脸上,手放在别人的脸上"
hands_on_own_face,"双手放在自己脸上,手放在自己的脸上"
hand_on_another's_chest,"手放在别人胸上,手放在对方的胸前,手放在别人的胸前"
hand_on_own_chest,"手放在自己胸上,手放在自己的胸前"
hand_on_hip,"单手叉腰,单手插腰,手放在臀部"
hands_on_hips,"双手叉腰"
breast_hold,"托着胸部,抱着胸部,抱胸"
breast_grab,"揉胸,乳房抓斗"
breast_suppress,"手放在胸上方,手放在乳房上方,乳房抑制"
arm_between_breasts,"手放在胸之间,乳房之间的手臂"
nipple_tweak,"玩胸部前端,玩弄乳头,乳头_调整"
hand_on_own_ass,"手放在自己的as上,手在自己的屁股上"
hands_on_own_knees,"手放在自己的膝盖上,双手放在自己的膝盖上"
hand_between_legs,"手在腿之间,手放在两腿之间,双腿之间的手"
hands_on_feet,"手放在脚上"
holding_hands,"牵手"
hand_in_pocket,"单手叉口袋,手放在口袋里"
hands_in_pockets,"双手插口袋,双手插在口袋里"
aqua_eyes,"青色眼睛,吐舌鬼脸,水眼"
black_eyes,"黑色眼睛,黑眼,黑眼睛"
blue_eyes,"蓝色眼睛,蓝眼,蓝眼睛"
brown_eyes,"棕色眼睛,棕眼,棕色的眼睛"
green_eyes,"绿色眼睛,绿眼,绿眼睛"
grey_eyes,"灰色眼睛,灰眼,灰色的眼睛"
orange_eyes,"橙色眼睛"
pink_eyes,"粉红色眼睛,粉红色的眼睛"
purple_eyes,"紫色眼睛,紫眼,紫色的眼睛"
red_eyes,"红色眼睛,红眼,红眼睛"
silver_eyes,"银色眼睛,灰眼"
white_eyes,"白色眼睛,白眼,白色的眼睛"
heterochromia,"异色瞳,异色症"
ringed_eyes,"同心环组成的瞳孔,眼圈"
constricted_pupils,"收缩的瞳孔,瞳孔收缩,收缩的学生"
horizontal_pupils,"水平瞳孔"
no_pupils,"没有瞳孔,没有眼睛,没有学生"
slit_pupils,"猫瞳,竖瞳孔/猫眼,狭缝瞳孔"
symbol-shaped_pupils,"符号形瞳孔,符号眼"
heart-shaped_pupils,"心形瞳孔,爱心形瞳孔"
star-shaped_pupils,"星形瞳孔,星形眼睛"
blue_sclera,"蓝色巩膜"
black_sclera,"黑色巩膜"
blank_eyes,"空白的眼睛,白眼球"
green_sclera,"绿色巩膜"
orange_sclera,"橙色巩膜"
red_sclera,"红巩膜,红色巩膜"
yellow_sclera,"黄色巩膜"
bags_under_eyes,"眼袋"
glowing_eyes,"发光的眼睛(双眼),发光的双眼,发光的眼睛"
glowing_eye,"发光的眼睛(单眼),发光的眼睛"
crazy_eyes,"疯狂的眼睛"
empty_eyes,"空洞的眼睛,眼睛没有亮点"
tsurime,"吊眼角,鹤壁"
sanpaku,"死鱼眼,三白眼,三白"
no_eyes,"没有眼睛"
covering_eyes,"遮住眼睛"
hair_over_eyes,"头发遮住眼睛,头发遮着双眼"
hair_over_one_eye,"头发遮住一只眼睛,头发遮住了一只眼睛,一只眼睛上的头发"
blindfold,"独眼眼罩,眼罩"
glasses,"眼镜,眼镜/眼镜娘"
makeup,"化妆品,浓装,化妆"
eyeliner,"眼线笔,眼线"
eyeshadow,"眼影"
looking_afar,"远眺,远远望去"
looking_at_another,"看着另一个人,盯着另一人,看着另一个"
looking_at_breasts,"看着胸,瞄着乳房,看着乳房"
looking_at_mirror,"看着镜子,照镜子"
looking_at_phone,"看着手机,看手机"
looking_at_viewer,"看着镜头,看向阅图者,看着观众"
looking_away,"看向别处,移开视线,看着别处"
looking_back,"回头看,回眸"
looking_down,"往下看,俯视,向下看"
looking_outside,"向外看"
looking_over_glasses,"透过眼镜看"
looking_to_the_side,"看向一边,看向侧面"
collarbone,"锁骨"
nape,"颈背"
neck,"脖子,颈部"
kneeling,"跪着,下跪"
one_knee,"单膝跪地,单膝"
lying,"躺着,说谎"
fetal_position,"蜷起身体侧躺,曲腿至胸,胎位"
on_back,"仰卧,仰躺,背面"
on_side,"侧卧,在旁边"
on_stomach,"俯卧,趴着,在肚子上"
sitting,"坐着"
crossed_legs,"二郎腿,双腿交叉"
indian_style,"盘腿坐,盘腿,印度风格"
hugging_own_legs,"屈膝抱腿坐,抱腿,拥抱自己的腿"
lotus_position,"盘腿坐且腿放在脚上"
sitting_on_lap,"坐在另一人腿上,坐在大腿上,坐在膝盖上"
straddling,"跨坐,跨骑"
upright_straddle,"面对面跨坐在另一人腿上,立式跨骑"
wariza,"鸭子坐,割坐,瓦里萨"
yokozuwari,"侧身坐,横津折"
standing,"站着,站立"
legs_apart,"大腿分开站立,双腿分开"
standing_on_one_leg,"单腿站立"
jumping,"跳,跳跃"
running,"跑,运行"
walking,"走,行走"
all_fours,"四肢着地,四肢趴地"
top-down_bottom-up,"上半身匍匐下半身翘起,趴着翘臀,自上而下_自下而上"
crucifixion,"绑在十字架上的,受难"
fighting_stance,"恐吓对手的架势,战斗姿态"
reclining,"半躺着的放松姿势,斜倒斜躺姿势,斜倚"
squatting,"蹲着,蹲下"
stretching,"伸懒腰"
upside-down,"人物倒置,颠倒的,颠倒"
head_rest,"手撑头,枕着头/托着头,头枕"
head_down,"头向下倾斜,低着头,低头"
leaning_forward,"向前倾,身体前驱,身体前倾"
twisted_torso,"人物躯干旋转较大角度,扭曲的躯干"
arm_behind_head,"单手举过头,手臂在头后"
victory_pose,"v字手势,胜利姿势"
arms_behind_head,"双手举过头,手臂放头后,头后的手臂"
outstretched_arm,"伸单手,伸出单臂,伸出的手臂"
outstretched_arms,"伸双手,伸出双臂"
spread_arms,"双手张开伸直,张开双臂,展开武器"
crossed_arms,"双手交叉,交叉双臂,双臂交叉"
flexing,"手臂弯举展示肌肉,弯曲"
own_hands_together,"自己握自己的手,双手合十,自己动手"
interlocked_fingers,"十指相扣"
folded,"双腿向后折起,折叠"
leg_up,"单腿抬起,抬起腿"
pigeon-toed,"内八,鸽子"
back-to-back,"背贴背,背靠背"
cheek-to-cheek,"脸贴脸,脸颊到脸颊"
eye_contact,"眼神交会,对视,眼神交流"
leg_lock,"双腿缠绕,跨坐式,腿锁"
hug,"拥抱"
object_hug,"抱着物品,对象拥抱"
arm_hug,"搂着手臂,挽手,手臂拥抱"
hug_from_behind,"从背后抱,从背后拥抱"
carrying,"用手臂支撑,携带"
carrying_under_arm,"用腋下夹,夹在腋下,腋下携带"
child_carry,"一人坐在另一人的手臂上,儿童携带"
sitting_on_shoulder,"坐在肩膀上"
dynamic_angle,"动态姿势"
crown,"王冠,皇冠"
hat,"帽子"
helmet,"头盔"
black_headwear,"黑色头饰"
blue_headwear,"蓝色头饰"
brown_headwear,"棕色头饰"
green_headwear,"绿色头饰"
grey_headwear,"灰色头饰"
orange_headwear,"橙色头饰"
pink_headwear,"粉色头饰"
purple_headwear,"紫色头饰"
red_headwear,"红色头饰"
yellow_headwear,"黄色头饰"
cat_hat,"猫耳帽子,猫帽"
penguin_hat,"企鹅帽子"
baseball_cap,"棒球帽"
beanie,"针织帽,豆豆"
beret,"贝雷帽"
bicorne,"拿破仑帽,双角"
boater_hat,"平顶帽,船帽"
bowler_hat,"圆顶硬礼帽,圆顶礼帽"
bucket_hat,"有帽檐的棉质半圆帽,渔夫帽"
cabbie_hat,"报童帽(可莉),出租车司机帽"
chef_hat,"主厨帽,厨师帽"
toque_blanche,"白色针织帽,白转矩"
flat_top_chef_hat,"平顶厨师帽"
cloche_hat,"钟形帽"
cowboy_hat,"牛仔帽"
deerstalker,"福尔摩斯帽,猎鹿人"
fedora,"侦探帽,软呢帽"
female_service_cap,"女警帽,女性服务帽"
fur_hat,"毛皮制成的俄罗斯帽,皮帽"
jester_cap,"小丑帽"
party_hat,"派对帽"
peaked_cap,"警察帽_军官帽,类似警帽的帽子,顶帽"
santa_hat,"圣诞老人帽,圣诞帽"
sombrero,"阔边帽"
sun_hat,"遮阳帽,太阳帽"
top_hat,"魔术师帽,大礼帽"
witch_hat,"女巫帽"
wizard_hat,"巫师帽,法师帽"
veil,"头纱,面纱"
baseball_helmet,"棒球头盔"
football_helmet,"橄榄球头盔"
hardhat,"安全帽"
helm,"中世纪骑兵头盔,掌舵"
kabuto,"古代日本将军胄"
tiara,"公主佩戴的金属发带,三重冕,头饰"
aviator_cap,"飞行帽,飞行员帽"
bandana,"头上的绑带,头巾"
bonnet,"旧式女帽,发动机罩"
hijab,"伊斯兰头巾,头巾"
visor_cap,"塑料无顶遮阳帽,遮阳帽"
frilled_hat,"有褶皱边的帽子,褶边帽子"
military_hat,"军帽"
straw_hat,"草帽"
hand_on_headwear,"手放在帽子上,手戴头饰"
hands_on_headwear,"双手放在帽子上,手戴头饰"
hat_feather,"羽毛装饰的帽子,帽子羽毛"
hat_flower,"花装饰的帽子,帽子花"
hat_ribbon,"帽子上绑着丝带,帽子丝带"
laurel_crown,"桂冠,月桂冠"
blouse,"女式衬衫,罩衫,衬衫"
frilled_shirt,"有褶皱边的衬衫,荷叶边衬衫"
sleeveless_shirt,"无袖衬衫"
bustier,"短紧身胸衣,胸衣,紧身胸衣"
